GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),PlayerType(PlayerType-1),PlayerType(PlayerType-0),Winner(PlayerIdx)
1616233144,TicTacToe,0,GAME_OVER,7,6,2,134,BasicMCTS,-1.0,1.0,osla,2,BasicMCTS,2,1,1,osla,osla,BasicMCTS,0
-1825767405,TicTacToe,0,GAME_OVER,9,8,2,135,BasicMCTS,-1.0,1.0,osla,2,BasicMCTS,2,1,1,osla,osla,BasicMCTS,0
-1681345762,TicTacToe,0,GAME_OVER,5,4,2,136,BasicMCTS,-1.0,1.0,osla,2,BasicMCTS,2,1,1,osla,osla,BasicMCTS,0
-1466223696,TicTacToe,0,GAME_OVER,7,6,2,137,BasicMCTS,-1.0,1.0,osla,2,BasicMCTS,2,1,1,osla,osla,BasicMCTS,0
-898042700,TicTacToe,0,GAME_OVER,7,6,2,138,BasicMCTS,-1.0,1.0,osla,2,BasicMCTS,2,1,1,osla,osla,BasicMCTS,0
-622095176,TicTacToe,0,GAME_OVER,5,4,2,139,BasicMCTS,-1.0,1.0,osla,2,BasicMCTS,2,1,1,osla,osla,BasicMCTS,0
-1621553363,TicTacToe,0,GAME_OVER,5,4,2,140,BasicMCTS,-1.0,1.0,osla,2,BasicMCTS,2,1,1,osla,osla,BasicMCTS,0
2021511387,TicTacToe,0,GAME_OVER,7,6,2,141,BasicMCTS,-1.0,1.0,osla,2,BasicMCTS,2,1,1,osla,osla,BasicMCTS,0
-1677040338,TicTacToe,0,GAME_OVER,5,4,2,142,BasicMCTS,-1.0,1.0,osla,2,BasicMCTS,2,1,1,osla,osla,BasicMCTS,0
1955989905,TicTacToe,0,GAME_OVER,7,6,2,143,BasicMCTS,-1.0,1.0,osla,2,BasicMCTS,2,1,1,osla,osla,BasicMCTS,0
-1876231119,TicTacToe,0,GAME_OVER,9,8,2,144,BasicMCTS,-1.0,1.0,osla,2,BasicMCTS,2,1,1,osla,osla,BasicMCTS,0
-1294795098,TicTacToe,0,GAME_OVER,7,6,2,145,BasicMCTS,-1.0,1.0,osla,2,BasicMCTS,2,1,1,osla,osla,BasicMCTS,0
127372284,TicTacToe,0,GAME_OVER,7,6,2,146,BasicMCTS,-1.0,1.0,osla,2,BasicMCTS,2,1,1,osla,osla,BasicMCTS,0
-991207967,TicTacToe,0,GAME_OVER,5,4,2,147,BasicMCTS,-1.0,1.0,osla,2,BasicMCTS,2,1,1,osla,osla,BasicMCTS,0
1049258221,TicTacToe,0,GAME_OVER,7,6,2,148,BasicMCTS,-1.0,1.0,osla,2,BasicMCTS,2,1,1,osla,osla,BasicMCTS,0
-2039767727,TicTacToe,0,GAME_OVER,9,8,2,149,BasicMCTS,-1.0,1.0,osla,2,BasicMCTS,2,1,1,osla,osla,BasicMCTS,0
1908179359,TicTacToe,0,GAME_OVER,7,6,2,150,BasicMCTS,-1.0,1.0,osla,2,BasicMCTS,2,1,1,osla,osla,BasicMCTS,0
1115136563,TicTacToe,0,GAME_OVER,5,4,2,151,BasicMCTS,-1.0,1.0,osla,2,BasicMCTS,2,1,1,osla,osla,BasicMCTS,0
